起点省会,终点省会,路由,邮件量,总的邮件量
呼和浩特,兰州,['呼和浩特-太原-西安-兰州'],[1],1
呼和浩特,西宁,[],[],0
呼和浩特,银川,[],[],0
呼和浩特,乌鲁木齐,[],[],0
沈阳,北京,['沈阳-北京'],[34],34
沈阳,天津,"['沈阳-天津', '沈阳-大连-天津']","[41, 1]",42
沈阳,石家庄,['沈阳-石家庄'],[67],67
沈阳,太原,['沈阳-太原'],[107],107
沈阳,呼和浩特,"['沈阳-呼和浩特', '沈阳-天津-呼和浩特']","[1, 1]",2
沈阳,沈阳,[],[],0
沈阳,长春,"['沈阳-哈尔滨-长春', '沈阳-长春', '沈阳-长春-吉林-长春', '沈阳-四平-长春', '沈阳-锦州-长春', '沈阳-大连-长春']","[1, 1656, 2, 1, 1, 1]",1662
沈阳,哈尔滨,"['沈阳-哈尔滨', '沈阳-哈尔滨-长春-哈尔滨', '沈阳-哈尔滨-沈阳-哈尔滨', '沈阳-哈尔滨-佳木斯-哈尔滨', '沈阳-长春-哈尔滨', '沈阳-天津-哈尔滨']","[1992, 1, 2, 12, 1, 1]",2009
沈阳,上海,['沈阳-上海'],[21],21
沈阳,南京,['沈阳-苏州-南京'],[3],3
沈阳,杭州,['沈阳-杭州'],[45],45
沈阳,合肥,['沈阳-合肥'],[13],13
沈阳,福州,['沈阳-泉州-福州'],[10],10
沈阳,南昌,"['沈阳-南昌', '沈阳-大连-沈阳-南昌', '沈阳-南昌-上饶-南昌']","[51, 4, 1]",56
沈阳,济南,['沈阳-济南'],[90],90
沈阳,郑州,"['沈阳-郑州', '沈阳-锦州-郑州', '沈阳-通辽-沈阳-郑州']","[38, 1, 1]",40
沈阳,武汉,['沈阳-武汉'],[66],66
沈阳,长沙,['沈阳-长沙'],[19],19
沈阳,广州,['沈阳-广州'],[41],41
沈阳,南宁,['沈阳-南宁'],[10],10
沈阳,海口,"['沈阳-东莞-海口', '沈阳-东莞-海口-东莞-海口']","[3, 1]",4
沈阳,重庆,['沈阳-重庆'],[15],15
沈阳,成都,['沈阳-成都'],[23],23
沈阳,贵阳,['沈阳-贵阳'],[4],4
沈阳,昆明,['沈阳-昆明'],[26],26
沈阳,拉萨,[],[],0
沈阳,西安,['沈阳-西安'],[12],12
沈阳,兰州,['沈阳-西安-兰州'],[3],3
沈阳,西宁,[],[],0
沈阳,银川,"['沈阳-西安-银川', '沈阳-通辽-沈阳-郑州-银川', '沈阳-郑州-银川']","[1, 1, 1]",3
沈阳,乌鲁木齐,[],[],0
长春,北京,"['长春-天津-北京', '长春-北京']","[1, 6]",7
长春,天津,['长春-天津'],[11],11
