收寄城市,寄达城市,车辆使用情况,车辆成本,,,,,,
天津,洛阳,,,,,,,,
天津,武汉,"天津-武汉的邮路使用3辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",42206.99,,,,,,
天津,荆州,,,,,,,,
天津,襄阳,,,,,,,,
天津,长沙,"天津-长沙的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",43379.154,,,,,,
天津,常德,,,,,,,,
天津,衡阳,,,,,,,,
天津,广州,"天津-广州的邮路使用6辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",123358.56,,,,,,
天津,汕头,,,,,,,,
天津,深圳,,,,,,,,
天津,东莞,,,,,,,,
天津,湛江,,,,,,,,
天津,中山,,,,,,,,
天津,南宁,,,,,,,,
天津,柳州,,,,,,,,
天津,海口,,,,,,,,
天津,重庆,,,,,,,,
天津,成都,,,,,,,,
天津,南充,,,,,,,,
天津,内江,,,,,,,,
天津,贵阳,,,,,,,,
天津,昆明,,,,,,,,
天津,大理州,,,,,,,,
天津,拉萨,,,,,,,,
天津,西安,"天津-西安的邮路使用5辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",70940.808,,,,,,
天津,宝鸡,,,,,,,,
天津,兰州,,,,,,,,
天津,西宁,,,,,,,,
天津,银川,,,,,,,,
天津,乌鲁木齐,,,,,,,,
天津,阿克苏,,,,,,,,
天津,喀什,,,,,,,,
石家庄,北京,"石家庄-北京的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及5辆40t委办车,2辆20t委办车,0辆12t委办车",34807.4,,,,,,
石家庄,天津,"石家庄-天津的邮路使用3辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",10204.362,,,,,,
石家庄,石家庄,,,,,,,,
石家庄,唐山,"石家庄-唐山的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,1辆20t委办车,1辆12t委办车",29226.6135,,,,,,
石家庄,廊坊,"石家庄-廊坊的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,1辆12t委办车",8369.477,,,,,,
石家庄,保定,"石家庄-保定的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及15辆40t委办车,2辆20t委办车,1辆12t委办车",43445.064,,,,,,
