中心局B,中心局M,中心局N,初始路线,串行路线,初始车辆使用情况,串行车辆使用情况,初始成本,串行成本,节约成本
北京,石家庄,武汉,"北京-石家庄,石家庄-北京,北京-武汉,武汉-北京",北京-石家庄-武汉-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用1辆40t车,1辆20t车,0辆12t车",,53042.588,0,0
北京,石家庄,长沙,"北京-石家庄,石家庄-北京,北京-长沙,长沙-北京",北京-石家庄-长沙-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,1辆12t车",,62706.774,0,0
北京,石家庄,广州,"北京-石家庄,石家庄-北京,北京-广州,广州-北京",北京-石家庄-广州-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,78578.85800000001,0,0
北京,石家庄,重庆,"北京-石家庄,石家庄-北京,北京-重庆,重庆-北京",北京-石家庄-重庆-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,41097.968,0,0
北京,石家庄,成都,"北京-石家庄,石家庄-北京,北京-成都,成都-北京",北京-石家庄-成都-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,50020.403999999995,0,0
北京,石家庄,贵阳,"北京-石家庄,石家庄-北京,北京-贵阳,贵阳-北京",北京-石家庄-贵阳-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,42439.362,0,0
北京,石家庄,西安,"北京-石家庄,石家庄-北京,北京-西安,西安-北京",北京-石家庄-西安-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,46939.676,0,0
北京,石家庄,兰州,"北京-石家庄,石家庄-北京,北京-兰州,兰州-北京",北京-石家庄-兰州-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,33976.82,0,0
北京,石家庄,唐山,"北京-石家庄,石家庄-北京,北京-唐山,唐山-北京",北京-石家庄-唐山-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,15119.796,0,0
北京,石家庄,廊坊,"北京-石家庄,石家庄-北京,北京-廊坊,廊坊-北京",北京-石家庄-廊坊-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,13584.627999999999,0,0
北京,石家庄,保定,"北京-石家庄,石家庄-北京,北京-保定,保定-北京",北京-石家庄-保定-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,15871.016,0,0
北京,石家庄,大连,"北京-石家庄,石家庄-北京,北京-大连,大连-北京",北京-石家庄-大连-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,24857.884,0,0
北京,石家庄,锦州,"北京-石家庄,石家庄-北京,北京-锦州,锦州-北京",北京-石家庄-锦州-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,19670.254,0,0
北京,石家庄,徐州,"北京-石家庄,石家庄-北京,北京-徐州,徐州-北京",北京-石家庄-徐州-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,34466.46000000001,0,0
北京,石家庄,青岛,"北京-石家庄,石家庄-北京,北京-青岛,青岛-北京",北京-石家庄-青岛-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,23487.912,0,0
北京,太原,天津,"北京-太原,太原-北京,北京-天津,天津-北京",北京-太原-天津-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,2辆12t车",,9828.617999999999,0,0
北京,太原,石家庄,"北京-太原,太原-北京,北京-石家庄,石家庄-北京",北京-太原-石家庄-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,2辆20t车,0辆12t车",,20361.938000000002,0,0
北京,太原,呼和浩特,"北京-太原,太原-北京,北京-呼和浩特,呼和浩特-北京",北京-太原-呼和浩特-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,14525.364,0,0
北京,太原,沈阳,"北京-太原,太原-北京,北京-沈阳,沈阳-北京",北京-太原-沈阳-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,20635.362,0,0
北京,太原,长春,"北京-太原,太原-北京,北京-长春,长春-北京",北京-太原-长春-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,21004.608,0,0
北京,太原,哈尔滨,"北京-太原,太原-北京,北京-哈尔滨,哈尔滨-北京",北京-太原-哈尔滨-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,26718.682,0,0
