起点省会,终点省会,路由,邮件量,总的邮件量
杭州,南昌,"['杭州-苏州-南昌', '杭州-南昌']","[1, 2]",3
杭州,济南,"['杭州-湖州-济南', '杭州-济南', '杭州-嘉兴-潍坊-济南']","[2, 3, 1]",6
杭州,郑州,['杭州-郑州'],[12],12
杭州,武汉,"['杭州-武汉', '杭州-荆门-武汉', '杭州-嘉兴-武汉']","[12, 1, 2]",15
杭州,长沙,"['杭州-长沙', '杭州-嘉兴-长沙']","[7, 1]",8
杭州,广州,"['杭州-东莞-广州', '杭州-广州']","[1, 3]",4
杭州,南宁,"['杭州-金华-南宁', '杭州-南宁', '杭州-东莞-南宁']","[2, 1, 1]",4
杭州,海口,"['杭州-温州-深圳-中山-海口', '杭州-东莞-海口']","[1, 1]",2
杭州,重庆,['杭州-重庆'],[4],4
杭州,成都,"['杭州-成都', '杭州-嘉兴-成都']","[9, 1]",10
杭州,贵阳,['杭州-贵阳'],[3],3
杭州,昆明,"['杭州-成都-昆明', '杭州-昆明']","[1, 5]",6
杭州,拉萨,['杭州-成都-拉萨'],[1],1
杭州,西安,"['杭州-西安', '杭州-嘉兴-西安', '杭州-攀枝花-西安']","[6, 2, 3]",11
杭州,兰州,"['杭州-兰州', '杭州-攀枝花-兰州', '杭州-西安-兰州']","[1, 2, 1]",4
杭州,西宁,['杭州-攀枝花-西宁'],[3],3
杭州,银川,['杭州-攀枝花-银川'],[1],1
杭州,乌鲁木齐,"['杭州-攀枝花-乌鲁木齐', '杭州-西安-乌鲁木齐']","[6, 1]",7
合肥,北京,[],[],0
合肥,天津,[],[],0
合肥,石家庄,[],[],0
合肥,太原,[],[],0
合肥,呼和浩特,[],[],0
合肥,沈阳,['合肥-沈阳'],[1],1
合肥,长春,[],[],0
合肥,哈尔滨,[],[],0
合肥,上海,[],[],0
合肥,南京,[],[],0
合肥,杭州,['合肥-杭州'],[1],1
合肥,合肥,[],[],0
合肥,福州,['合肥-福州'],[1],1
合肥,南昌,[],[],0
合肥,济南,[],[],0
合肥,郑州,[],[],0
合肥,武汉,[],[],0
合肥,长沙,[],[],0
合肥,广州,[],[],0
合肥,南宁,[],[],0
合肥,海口,[],[],0
合肥,重庆,[],[],0
合肥,成都,[],[],0
合肥,贵阳,[],[],0
合肥,昆明,[],[],0
合肥,拉萨,[],[],0
合肥,西安,[],[],0
合肥,兰州,[],[],0
合肥,西宁,[],[],0
合肥,银川,[],[],0
合肥,乌鲁木齐,[],[],0
福州,北京,[],[],0
福州,天津,[],[],0
福州,石家庄,[],[],0
福州,太原,[],[],0
福州,呼和浩特,[],[],0
福州,沈阳,[],[],0
福州,长春,[],[],0
福州,哈尔滨,[],[],0
福州,上海,[],[],0
福州,南京,[],[],0
福州,杭州,[],[],0
福州,合肥,[],[],0
福州,福州,[],[],0
福州,南昌,[],[],0
福州,济南,[],[],0
福州,郑州,[],[],0
福州,武汉,['福州-武汉'],[1],1
福州,长沙,[],[],0
福州,广州,[],[],0
福州,南宁,[],[],0
福州,海口,[],[],0
福州,重庆,[],[],0
福州,成都,[],[],0
福州,贵阳,[],[],0
福州,昆明,[],[],0
福州,拉萨,[],[],0
福州,西安,[],[],0
福州,兰州,[],[],0
福州,西宁,[],[],0
福州,银川,[],[],0
福州,乌鲁木齐,[],[],0
南昌,北京,['南昌-北京'],[10],10
南昌,天津,['南昌-北京-天津'],[2],2
南昌,石家庄,[],[],0
南昌,太原,['南昌-太原'],[4],4
南昌,呼和浩特,[],[],0
南昌,沈阳,"['南昌-沈阳', '南昌-北京-沈阳']","[8, 1]",9
南昌,长春,[],[],0
南昌,哈尔滨,"['南昌-沈阳-哈尔滨', '南昌-北京-哈尔滨']","[1, 1]",2
南昌,上海,[],[],0
南昌,南京,['南昌-南京'],[1],1
南昌,杭州,"['南昌-杭州', '南昌-成都-杭州', '南昌-重庆-成都-杭州', '南昌-金华-杭州']","[1, 1, 4, 1]",7
南昌,合肥,['南昌-合肥'],[3],3
南昌,福州,[],[],0
南昌,南昌,[],[],0
南昌,济南,['南昌-潍坊-济南'],[1],1
南昌,郑州,['南昌-郑州'],[1],1
南昌,武汉,['南昌-武汉'],[5],5
南昌,长沙,['南昌-长沙'],[4],4
南昌,广州,['南昌-赣州-广州'],[1],1
南昌,南宁,"['南昌-南宁', '南昌-金华-南宁']","[8, 1]",9
南昌,海口,[],[],0
南昌,重庆,['南昌-重庆'],[60],60
南昌,成都,"['南昌-成都', '南昌-重庆-成都']","[77, 56]",133
南昌,贵阳,['南昌-贵阳'],[4],4
南昌,昆明,['南昌-昆明'],[1],1
南昌,拉萨,[],[],0
南昌,西安,['南昌-西安'],[5],5
南昌,兰州,['南昌-西安-兰州'],[1],1
南昌,西宁,[],[],0
南昌,银川,[],[],0
南昌,乌鲁木齐,['南昌-西安-乌鲁木齐'],[1],1
济南,北京,['济南-北京'],[11],11
济南,天津,"['济南-天津', '济南-北京-天津']","[2, 3]",5
济南,石家庄,['济南-北京-石家庄'],[1],1
济南,太原,['济南-太原'],[11],11
济南,呼和浩特,['济南-呼和浩特'],[1],1
济南,沈阳,['济南-沈阳'],[10],10
济南,长春,"['济南-沈阳-长春', '济南-长春']","[1, 3]",4
济南,哈尔滨,"['济南-哈尔滨', '济南-沈阳-哈尔滨']","[4, 2]",6
济南,上海,"['济南-连云港-上海', '济南-上海']","[3, 15]",18
济南,南京,"['济南-南京', '济南-连云港-南京']","[2, 2]",4
济南,杭州,"['济南-湖州-杭州', '济南-杭州']","[17, 2]",19
济南,合肥,['济南-合肥'],[2],2
济南,福州,['济南-福州'],[4],4
济南,南昌,['济南-南昌'],[1],1
济南,济南,[],[],0
济南,郑州,['济南-郑州'],[12],12
济南,武汉,['济南-武汉'],[11],11
济南,长沙,['济南-长沙'],[16],16
济南,广州,"['济南-东莞-广州', '济南-广州']","[2, 5]",7
济南,南宁,"['济南-南宁', '济南-潍坊-南宁', '济南-东莞-南宁']","[3, 1, 1]",5
济南,海口,['济南-深圳-海口'],[2],2
济南,重庆,"['济南-重庆', '济南-南充-重庆', '济南-潍坊-成都-重庆']","[1, 1, 2]",4
济南,成都,"['济南-成都', '济南-潍坊-成都']","[7, 2]",9
济南,贵阳,['济南-潍坊-贵阳'],[6],6
济南,昆明,['济南-昆明'],[8],8
济南,拉萨,[],[],0
济南,西安,['济南-攀枝花-西安'],[2],2
济南,兰州,['济南-潍坊-攀枝花-兰州'],[2],2
济南,西宁,[],[],0
济南,银川,['济南-潍坊-银川'],[1],1
济南,乌鲁木齐,[],[],0
郑州,北京,"['郑州-北京', '郑州-天津-北京']","[15, 1]",16
郑州,天津,['郑州-天津'],[3],3
郑州,石家庄,['郑州-石家庄'],[1],1
郑州,太原,['郑州-太原'],[3],3
郑州,呼和浩特,[],[],0
郑州,沈阳,"['郑州-沈阳', '郑州-北京-沈阳']","[3, 1]",4
郑州,长春,[],[],0
